,base,pair,hashed_conver,hashed_ip,country,diff_pre_ar,diff_pre_es,delta,accumulated_ar,accumulated_es,token_count_ar,token_count_es,prefixes,full_sentence_debug,model,timestamp,binary_delta,token_count_diff,corpus_count_ar,corpus_count_es,corpus_count,model_id,q_param,created_at,it
1012,,"('creame', 'créame')",41c4c28e5ea6aa64a83e56d162c79f8d,f83a59f9894899d143c56e2dc4f7fc73aa2e257a336a326a37dc24fded4f2e08,Spain,-0.625,-2.75,2.125,"(-17.375, -16.75)","(-19.75, -17.0)",2,2,"('User location: Argentina\nUser language: es-AR', 'User location: Spain\nUser language: es-ES')",<|im_start|>system\nUser location: Spain\nUser language: es-ES<|im_end|>\n<|im_start|>user\n créame,Qwen/Qwen3-8B,2026-06-01T01:22:34.762966,True,0,17,7,24,Qwen/Qwen3-8B,8.19,202507,True
1013,,"('Mostrame', 'Muéstrame')",2ba6172447fa8f1c64b5c94670a07104,74e6cc19665567295f57b83be0f96b117f147e218ed3f178c93fb0a4a4fa401b,Spain,-2.125,-0.25,-1.875,"(-18.375, -16.25)","(-16.75, -16.5)",3,4,"('User location: Argentina\nUser language: es-AR', 'User location: Spain\nUser language: es-ES')",<|im_start|>system\nUser location: Spain\nUser language: es-ES<|im_end|>\n<|im_start|>user\n Muéstrame,Qwen/Qwen3-8B,2026-06-01T01:22:51.691361,False,-1,0,7,7,Qwen/Qwen3-8B,8.19,202507,True
1014,,"('Considerá', 'Considera')",7f378d6d348803d1d9c6b1bb4b25c8a7,e2a310cf14bccade00c755119ecb681aa5f5f071b8eaf0ea272fcfc2099e083e,Argentina,-7.1875,-7.625,0.4375,"(-23.125, -15.9375)","(-23.75, -16.125)",2,2,"('User location: Argentina\nUser language: es-AR', 'User location: Spain\nUser language: es-ES')",<|im_start|>system\nUser location: Spain\nUser language: es-ES<|im_end|>\n<|im_start|>user\n Considera,Qwen/Qwen3-8B,2026-06-01T01:23:01.423268,True,0,0,35,35,Qwen/Qwen3-8B,8.19,202507,True
1015,,"('Ponete', 'Ponte')",3f5180f20601ebea2e60b143e16f0c57,503c3ec8c865f5651d7e24a9bb63280361deee2f76e3bec52a0b754f4a0faf47,Argentina,-6.125,-9.0,2.875,"(-22.25, -16.125)","(-24.0, -15.0)",2,2,"('User location: Argentina\nUser language: es-AR', 'User location: Spain\nUser language: es-ES')",<|im_start|>system\nUser location: Spain\nUser language: es-ES<|im_end|>\n<|im_start|>user\n Ponte,Qwen/Qwen3-8B,2026-06-01T01:23:18.410501,True,0,0,2,2,Qwen/Qwen3-8B,8.19,202507,True
1016,,"('Compone', 'Compon')",a0fb5ee9c7523ed3b997b0952b9b24db,cd9279129708ed5df559d9d034c59461cee8136412623503a5e390854631fb80,Argentina,1.25,1.0,0.25,"(-18.625, -19.875)","(-17.875, -18.875)",2,2,"('User location: Argentina\nUser language: es-AR', 'User location: Spain\nUser language: es-ES')",<|im_start|>system\nUser location: Spain\nUser language: es-ES<|im_end|>\n<|im_start|>user\n Compon,Qwen/Qwen3-8B,2026-06-01T01:23:28.086516,True,0,14,0,14,Qwen/Qwen3-8B,8.19,202507,True
1017,hola me,"('podes', 'puedes')",adb4f454cb0e100faa98de42064195fc,f2db7da512a9cb8dac87407858e2e193d3ce2c316b8bbcda0618e46bf24331a5,Argentina,-2.171875,-3.7890625,1.6171875,"(-4.15625, -1.984375)","(-4.96875, -1.1796875)",2,1,"('User location: Argentina\nUser language: es-AR', 'User location: Spain\nUser language: es-ES')",<|im_start|>system\nUser location: Spain\nUser language: es-ES<|im_end|>\n<|im_start|>user\nhola me puedes,Qwen/Qwen3-8B,2026-06-01T01:23:35.278736,True,1,5,281,286,Qwen/Qwen3-8B,8.19,202507,True
1018,,"('actuá', 'actúa')",7522d06812810b6a2623ead8647c15f9,ec713e3fa8832a0368c84bce558c592fc028188abac89b20be1b711f9b6e871a,Argentina,-4.875,-5.0,0.125,"(-21.125, -16.25)","(-20.75, -15.75)",2,2,"('User location: Argentina\nUser language: es-AR', 'User location: Spain\nUser language: es-ES')",<|im_start|>system\nUser location: Spain\nUser language: es-ES<|im_end|>\n<|im_start|>user\n actúa,Qwen/Qwen3-8B,2026-06-01T01:23:45.043404,True,0,0,37,37,Qwen/Qwen3-8B,8.19,202507,True
1019,En lista lo que,"('vos', 'tú')",c7ccc3e47cffe97eb28a62d7242a56ba,7178958e2e7b9cc22e754a780a9b1b3de3172fd5731fd15b59f33e1379e19873,Argentina,1.15625,-0.96875,2.125,"(-7.53125, -8.6875)","(-8.875, -7.90625)",1,1,"('User location: Argentina\nUser language: es-AR', 'User location: Spain\nUser language: es-ES')",<|im_start|>system\nUser location: Spain\nUser language: es-ES<|im_end|>\n<|im_start|>user\nEn lista lo que tú,Qwen/Qwen3-8B,2026-06-01T01:23:49.832143,True,0,10,169,179,Qwen/Qwen3-8B,8.19,202507,True
1020,"Hola,","('explicame', 'explícame')",05cd045bdc4d3bb97b081ab2527772dd,197f5abc8b4e62414f8ab6aa481aadf733bb61d6fc570fa01ba4bdb0c9cabf6c,Argentina,2.125,1.8125,0.3125,"(-9.8125, -11.9375)","(-9.9375, -11.75)",2,3,"('User location: Argentina\nUser language: es-AR', 'User location: Spain\nUser language: es-ES')","<|im_start|>system\nUser location: Spain\nUser language: es-ES<|im_end|>\n<|im_start|>user\nHola, explícame",Qwen/Qwen3-8B,2026-06-01T01:24:01.960614,True,-1,15,8,23,Qwen/Qwen3-8B,8.19,202507,True
1021,,"('ayudame', 'ayúdame')",00e1b9e7b66ec3a10fc4174d0d6d43d7,1c22d3040570730c5baafcf6c5c88b705a18049bf7543e5d18d167702fc8b639,Argentina,3.75,2.9375,0.8125,"(-12.25, -16.0)","(-13.0625, -16.0)",2,4,"('User location: Argentina\nUser language: es-AR', 'User location: Spain\nUser language: es-ES')",<|im_start|>system\nUser location: Spain\nUser language: es-ES<|im_end|>\n<|im_start|>user\n ayúdame,Qwen/Qwen3-8B,2026-06-01T01:24:16.601735,True,-2,28,11,39,Qwen/Qwen3-8B,8.19,202507,True
1022,me,"('podes', 'puedes')",b66836c75b37c17c34f59407a24635a1,6883a3a4b9d182147343d03362af6e0abc0c63897fa42f9ba89c825024014578,Argentina,-0.953125,-5.84375,4.890625,"(-3.46875, -2.515625)","(-7.4375, -1.59375)",2,1,"('User location: Argentina\nUser language: es-AR', 'User location: Spain\nUser language: es-ES')",<|im_start|>system\nUser location: Spain\nUser language: es-ES<|im_end|>\n<|im_start|>user\nme puedes,Qwen/Qwen3-8B,2026-06-01T01:24:24.002928,True,1,5,281,286,Qwen/Qwen3-8B,8.19,202507,True
1023,que version de GPT,"('sos', 'eres')",50e213099b7d5b44a7cb74ef3b9f225c,86279eceb0f0c32324ec5156dc65f083723f4de579a220c8c416a13145c1048d,Argentina,-0.9375,-1.4375,0.5,"(-10.6875, -9.75)","(-10.625, -9.1875)",1,2,"('User location: Argentina\nUser language: es-AR', 'User location: Spain\nUser language: es-ES')",<|im_start|>system\nUser location: Spain\nUser language: es-ES<|im_end|>\n<|im_start|>user\nque version de GPT eres,Qwen/Qwen3-8B,2026-06-01T01:24:31.187564,True,-1,4,163,167,Qwen/Qwen3-8B,8.19,202507,True
1024,"Remind me again, this makes how many times Sanji runs off to save Zoro?","('Traduci', 'Traduce')",15cc0201d0335b8d5531357fe942bf2a,0bee208d62c49ce98d975c984b2f25bb434cb26cc108ce67736d4b1ca86272c5,Argentina,-1.0,-1.125,0.125,"(-21.75, -20.75)","(-22.625, -21.5)",2,2,"('User location: Argentina\nUser language: es-AR', 'User location: Spain\nUser language: es-ES')","<|im_start|>system\nUser location: Spain\nUser language: es-ES<|im_end|>\n<|im_start|>user\nRemind me again, this makes how many times Sanji runs off to save Zoro? Traduce",Qwen/Qwen3-8B,2026-06-01T01:24:41.159585,True,0,0,26,26,Qwen/Qwen3-8B,8.19,202507,True
1025,"Estoy escribiendo una nota sobre la experiencia de cocineros o pasantes en cocinas con estrellas michelin y relacionandolo con. la sere “the bear”, por favor","('sugeri', 'sugiere')",bc9a36b82665e4f063c910a8fe3bd032,91f2b870744596afaf52b204ed7e9df4c63c6ee89863fcafe21785870ef22308,Argentina,-8.0,-9.3125,1.3125,"(-15.25, -7.25)","(-16.0, -6.6875)",2,2,"('User location: Argentina\nUser language: es-AR', 'User location: Spain\nUser language: es-ES')","<|im_start|>system\nUser location: Spain\nUser language: es-ES<|im_end|>\n<|im_start|>user\nEstoy escribiendo una nota sobre la experiencia de cocineros o pasantes en cocinas con estrellas michelin y relacionandolo con. la sere “the bear”, por favor sugiere",Qwen/Qwen3-8B,2026-06-01T01:24:51.353677,True,0,1,26,27,Qwen/Qwen3-8B,8.19,202507,True
1026,chatgpt,"('haceme', 'hazme')",7d7bc625814e2141e7007f846738fc82,786967ed184d917c898a0a3ee6b8da4643edf4039eef12e7a41f512ba110d7d8,Argentina,-4.375,-7.0625,2.6875,"(-21.5, -17.125)","(-22.0, -14.9375)",2,2,"('User location: Argentina\nUser language: es-AR', 'User location: Spain\nUser language: es-ES')",<|im_start|>system\nUser location: Spain\nUser language: es-ES<|im_end|>\n<|im_start|>user\nchatgpt hazme,Qwen/Qwen3-8B,2026-06-01T01:25:01.074347,True,0,3,76,79,Qwen/Qwen3-8B,8.19,202507,True
1027,,"('escribime', 'escribeme')",5994de559130d222922d38b6e52d67d8,1a428bf5ff6ce1927d14ff92ebff264cc8c41469e16e2ea76d288ad666d6d4a1,Argentina,-1.0,-4.5,3.5,"(-16.25, -15.25)","(-20.5, -16.0)",3,3,"('User location: Argentina\nUser language: es-AR', 'User location: Spain\nUser language: es-ES')",<|im_start|>system\nUser location: Spain\nUser language: es-ES<|im_end|>\n<|im_start|>user\n escribeme,Qwen/Qwen3-8B,2026-06-01T01:25:15.661905,True,0,0,6,6,Qwen/Qwen3-8B,8.19,202507,True
1028,"estoy haciendo mi pagina de estudio juridico, pero no se si debo hablar en plular o singular ya que soy el unico, pero quizas genera algo hanlar en plural que","('decis', 'dices')",d30856bc7fab47ad4e174b7343754afb,356600cd45ea5e9dfe836490f7237d8319d6a6b4c2f479c6ba43d160496133a4,Argentina,1.875,1.9375,-0.0625,"(-12.9375, -14.8125)","(-12.6875, -14.625)",1,2,"('User location: Argentina\nUser language: es-AR', 'User location: Spain\nUser language: es-ES')","<|im_start|>system\nUser location: Spain\nUser language: es-ES<|im_end|>\n<|im_start|>user\nestoy haciendo mi pagina de estudio juridico, pero no se si debo hablar en plular o singular ya que soy el unico, pero quizas genera algo hanlar en plural que dices",Qwen/Qwen3-8B,2026-06-01T01:25:23.319207,False,-1,0,8,8,Qwen/Qwen3-8B,8.19,202507,True
1029,hola,"('podes', 'puedes')",8c6c87a8e3dfc8948a85e9b916f2e50c,bf73b1f2945a3ef6bfd07f23837f22d06f4aec7c9b44d7f25923c464fac0e27a,Argentina,-1.75,-4.6875,2.9375,"(-11.0625, -9.3125)","(-13.125, -8.4375)",2,1,"('User location: Argentina\nUser language: es-AR', 'User location: Spain\nUser language: es-ES')",<|im_start|>system\nUser location: Spain\nUser language: es-ES<|im_end|>\n<|im_start|>user\nhola puedes,Qwen/Qwen3-8B,2026-06-01T01:25:30.677365,True,1,5,281,286,Qwen/Qwen3-8B,8.19,202507,True
1030,,"('Definime', 'Defíneme')",a3d9f7f1d145be7b99d4f0a7c283cce8,3900e63539e3938d758fe11e55b50bd2b2a00104c1d6897b490fb1697ccee439,Argentina,-1.125,-4.25,3.125,"(-25.125, -24.0)","(-28.5, -24.25)",3,3,"('User location: Argentina\nUser language: es-AR', 'User location: Spain\nUser language: es-ES')",<|im_start|>system\nUser location: Spain\nUser language: es-ES<|im_end|>\n<|im_start|>user\n Defíneme,Qwen/Qwen3-8B,2026-06-01T01:25:45.254755,True,0,0,1,1,Qwen/Qwen3-8B,8.19,202507,True
1031,Investigame y,"('escribime', 'escríbeme')",5ced825399028fc1a5c9b40509defaea,cfaa5383ba2137924af3626db9248b3e08ea1bbb1b48b5463a2ebda2e1ab046d,Argentina,2.40625,-1.5,3.90625,"(-6.96875, -9.375)","(-11.3125, -9.8125)",3,4,"('User location: Argentina\nUser language: es-AR', 'User location: Spain\nUser language: es-ES')",<|im_start|>system\nUser location: Spain\nUser language: es-ES<|im_end|>\n<|im_start|>user\nInvestigame y escríbeme,Qwen/Qwen3-8B,2026-06-01T01:26:02.400387,True,-1,0,41,41,Qwen/Qwen3-8B,8.19,202507,True
1032,vivo en,"('Buenos Aires', 'Madrid')",,,,2.78125,-3.671875,6.453125,"(-3.25, -6.03125)","(-7.28125, -3.609375)",2,1,"('User location: Argentina\nUser language: es-AR', 'User location: Spain\nUser language: es-ES')",<|im_start|>system\nUser location: Spain\nUser language: es-ES<|im_end|>\n<|im_start|>user\nvivo en Madrid,Qwen/Qwen2-0.5B-Instruct,2026-06-01T01:26:23.495497,True,1,0,30,30,Qwen/Qwen2-0.5B-Instruct,0.49,202408,True
1033,,"('Creá', 'Crea')",34f1581760df304d539e2fe4653b40d3,58369722cd0bdf7fc027a67491ba65b74576df6994c36cfbc1978776e97fe587,Spain,-3.875,-4.25,0.375,"(-23.0, -19.125)","(-23.125, -18.875)",2,2,"('User location: Argentina\nUser language: es-AR', 'User location: Spain\nUser language: es-ES')",<|im_start|>system\nUser location: Spain\nUser language: es-ES<|im_end|>\n<|im_start|>user\n Crea,Qwen/Qwen2-0.5B-Instruct,2026-06-01T01:26:24.137251,True,0,0,135,135,Qwen/Qwen2-0.5B-Instruct,0.49,202408,True
1034,que me,"('recomendas', 'recomiendas')",53950d951e788610a70f05ab12504288,846e43fb5fbb4b8cfbafa17083387aad62e58f5fb23482df28940d9f490f906c,Spain,-5.15625,-5.1875,0.03125,"(-10.5, -5.34375)","(-10.0625, -4.875)",2,3,"('User location: Argentina\nUser language: es-AR', 'User location: Spain\nUser language: es-ES')",<|im_start|>system\nUser location: Spain\nUser language: es-ES<|im_end|>\n<|im_start|>user\nque me recomiendas,Qwen/Qwen2-0.5B-Instruct,2026-06-01T01:26:24.923010,True,-1,0,9,9,Qwen/Qwen2-0.5B-Instruct,0.49,202408,True
1035,,"('Hace', 'Haz')",01ded38242bd146b98ed70b8de2d6afb,2e6fe4d0bb0b2fb9f3844cb8ea7a7fa6307390677a7ea7d6d4eff3487b0a9832,Spain,-3.375,-2.875,-0.5,"(-21.125, -17.75)","(-20.875, -18.0)",2,1,"('User location: Argentina\nUser language: es-AR', 'User location: Spain\nUser language: es-ES')",<|im_start|>system\nUser location: Spain\nUser language: es-ES<|im_end|>\n<|im_start|>user\n Haz,Qwen/Qwen2-0.5B-Instruct,2026-06-01T01:26:25.331097,False,1,241,101,342,Qwen/Qwen2-0.5B-Instruct,0.49,202408,True
1036,,"('hablá', 'habla')",38b1ec0e1ce0401e5dcee57380ee41f5,dbd14a74ae97edfd9076bd33ff5a6921a0aca71a8511f08363df9a92318e27a1,Spain,-7.25,-7.375,0.125,"(-25.0, -17.75)","(-25.375, -18.0)",2,2,"('User location: Argentina\nUser language: es-AR', 'User location: Spain\nUser language: es-ES')",<|im_start|>system\nUser location: Spain\nUser language: es-ES<|im_end|>\n<|im_start|>user\n habla,Qwen/Qwen2-0.5B-Instruct,2026-06-01T01:26:25.901783,True,0,0,33,33,Qwen/Qwen2-0.5B-Instruct,0.49,202408,True
1037,,"('Escribi', 'Escribe')",f51bcc44753e70364f4828e034eb325b,d218a5c58a2156a478c09d964439bf89d9655a933a93fc172e4e9670fa188a43,Spain,-4.3125,-4.4375,0.125,"(-19.25, -14.9375)","(-19.5, -15.0625)",3,2,"('User location: Argentina\nUser language: es-AR', 'User location: Spain\nUser language: es-ES')",<|im_start|>system\nUser location: Spain\nUser language: es-ES<|im_end|>\n<|im_start|>user\n Escribe,Qwen/Qwen2-0.5B-Instruct,2026-06-01T01:26:26.706591,True,1,2,145,147,Qwen/Qwen2-0.5B-Instruct,0.49,202408,True
1038,,"('Escribí', 'Escribe')",1277cdb6834aa9edab01766089c24830,48f803df6bc43b0df2de4016a0c735db7efc9578892b71b30469fa38cb44e89f,Spain,-4.9375,-5.0625,0.125,"(-19.875, -14.9375)","(-20.125, -15.0625)",4,2,"('User location: Argentina\nUser language: es-AR', 'User location: Spain\nUser language: es-ES')",<|im_start|>system\nUser location: Spain\nUser language: es-ES<|im_end|>\n<|im_start|>user\n Escribe,Qwen/Qwen2-0.5B-Instruct,2026-06-01T01:26:28.085564,True,2,1,145,146,Qwen/Qwen2-0.5B-Instruct,0.49,202408,True
1039,,"('Indicá', 'Indica')",2ce3e0146a5cb825914998fd9a912524,c4666f57c0e7f5372e23116e5a94074e90aeaf81aa17c1e01e5d960a913c4ebd,Spain,-5.5,-5.625,0.125,"(-22.75, -17.25)","(-22.75, -17.125)",3,2,"('User location: Argentina\nUser language: es-AR', 'User location: Spain\nUser language: es-ES')",<|im_start|>system\nUser location: Spain\nUser language: es-ES<|im_end|>\n<|im_start|>user\n Indica,Qwen/Qwen2-0.5B-Instruct,2026-06-01T01:26:29.780260,True,1,0,54,54,Qwen/Qwen2-0.5B-Instruct,0.49,202408,True
1040,"En mi perfil de linkedin, tengo puesto 'Consultora y estudiante de PhD'. Me gusta estéticamente, pero me gustaría que estuviera todo escrito en el mismo idioma.","('Proponé', 'Propón')",618065c2318e7fe01ac4616d1fe56db0,4d8bcd2a3f5a3b8390134dad1587eab61e411a847a9ecd66fff06980a3b80459,Spain,-4.3125,-4.3125,0.0,"(-18.125, -13.8125)","(-18.125, -13.8125)",3,2,"('User location: Argentina\nUser language: es-AR', 'User location: Spain\nUser language: es-ES')","<|im_start|>system\nUser location: Spain\nUser language: es-ES<|im_end|>\n<|im_start|>user\nEn mi perfil de linkedin, tengo puesto 'Consultora y estudiante de PhD'. Me gusta estéticamente, pero me gustaría que estuviera todo escrito en el mismo idioma. Propón",Qwen/Qwen2-0.5B-Instruct,2026-06-01T01:26:31.698047,False,1,0,2,2,Qwen/Qwen2-0.5B-Instruct,0.49,202408,True
1041,De ahora en adelante,"('sos', 'eres')",d83d32119c07c253088d127957ae39c6,b805ad11c5bb1ca319a0a3fc1a533813e38128db19539bddfb29f2f886dce25a,Spain,-2.15625,-2.1875,0.03125,"(-9.9375, -7.78125)","(-10.0625, -7.875)",1,2,"('User location: Argentina\nUser language: es-AR', 'User location: Spain\nUser language: es-ES')",<|im_start|>system\nUser location: Spain\nUser language: es-ES<|im_end|>\n<|im_start|>user\nDe ahora en adelante eres,Qwen/Qwen2-0.5B-Instruct,2026-06-01T01:26:32.977376,True,-1,4,163,167,Qwen/Qwen2-0.5B-Instruct,0.49,202408,True
1042,,"('Haceme', 'Hazme')",4683b96381f00ccdf4b27801c70c5d27,4019c09e117824a5357b2be463b5e9b2cf941572d7659a271274f156d1fc1dd8,Spain,-8.375,-7.25,-1.125,"(-28.75, -20.375)","(-28.75, -21.5)",3,2,"('User location: Argentina\nUser language: es-AR', 'User location: Spain\nUser language: es-ES')",<|im_start|>system\nUser location: Spain\nUser language: es-ES<|im_end|>\n<|im_start|>user\n Hazme,Qwen/Qwen2-0.5B-Instruct,2026-06-01T01:26:34.068356,False,1,3,76,79,Qwen/Qwen2-0.5B-Instruct,0.49,202408,True
1043,,"('Analizá', 'Analiza')",634b5ea9a24b85fcdfd395c22627116c,33c1c669f7388d1ed8b7acb5dc2474c55d0fe71b7a1b41bcc8aa01320ee9ceee,Spain,-5.75,-5.75,0.0,"(-24.0, -18.25)","(-24.25, -18.5)",3,2,"('User location: Argentina\nUser language: es-AR', 'User location: Spain\nUser language: es-ES')",<|im_start|>system\nUser location: Spain\nUser language: es-ES<|im_end|>\n<|im_start|>user\n Analiza,Qwen/Qwen2-0.5B-Instruct,2026-06-01T01:26:35.519120,False,1,0,32,32,Qwen/Qwen2-0.5B-Instruct,0.49,202408,True
1044,,"('hablás', 'hablas')",3d37ce89003555197a4569c02f4abb9f,72c2da5d0d8d71eafba40f9972c7acd2ecee451483376387f8af16f653a0a7a9,Spain,-6.625,-6.5,-0.125,"(-27.25, -20.625)","(-27.25, -20.75)",3,2,"('User location: Argentina\nUser language: es-AR', 'User location: Spain\nUser language: es-ES')",<|im_start|>system\nUser location: Spain\nUser language: es-ES<|im_end|>\n<|im_start|>user\n hablas,Qwen/Qwen2-0.5B-Instruct,2026-06-01T01:26:36.925566,False,1,0,32,32,Qwen/Qwen2-0.5B-Instruct,0.49,202408,True
1045,,"('haceme', 'hazme')",731939132ab8fbae6a706741ce966d32,f41b3b711775112dc3b27eec25e5d78166b94be92554047ab8a5e0dab2c952e5,Spain,-1.375,-0.75,-0.625,"(-22.125, -20.75)","(-22.25, -21.5)",2,2,"('User location: Argentina\nUser language: es-AR', 'User location: Spain\nUser language: es-ES')",<|im_start|>system\nUser location: Spain\nUser language: es-ES<|im_end|>\n<|im_start|>user\n hazme,Qwen/Qwen2-0.5B-Instruct,2026-06-01T01:26:38.184616,False,0,3,76,79,Qwen/Qwen2-0.5B-Instruct,0.49,202408,True
1046,,"('escribi', 'escribe')",58f11bb6f0725ec4252e99cd72b8412e,622fd7cd0954db6dd1324dd5096e280e4ccae74ed68ea48aaffb1dd15611011b,Spain,0.75,1.875,-1.125,"(-16.25, -17.0)","(-16.25, -18.125)",2,2,"('User location: Argentina\nUser language: es-AR', 'User location: Spain\nUser language: es-ES')",<|im_start|>system\nUser location: Spain\nUser language: es-ES<|im_end|>\n<|im_start|>user\n escribe,Qwen/Qwen2-0.5B-Instruct,2026-06-01T01:26:39.248655,False,0,2,145,147,Qwen/Qwen2-0.5B-Instruct,0.49,202408,True
1047,"suponiendo que este texto forma parte de un archivo en el que se encuentra la traducción al español de una aplicación web,","('traducimelo', 'traducemelo')",29ccfccf77add4649183372849e101cd,f4c2e3d8be681566a5048fd7815115199b557de90382082a6e3c9abdee0cee8f,Spain,2.625,2.75,-0.125,"(-19.375, -22.0)","(-19.5, -22.25)",4,4,"('User location: Argentina\nUser language: es-AR', 'User location: Spain\nUser language: es-ES')","<|im_start|>system\nUser location: Spain\nUser language: es-ES<|im_end|>\n<|im_start|>user\nsuponiendo que este texto forma parte de un archivo en el que se encuentra la traducción al español de una aplicación web, traducemelo",Qwen/Qwen2-0.5B-Instruct,2026-06-01T01:26:40.281564,False,0,0,1,1,Qwen/Qwen2-0.5B-Instruct,0.49,202408,True
1048,como te,"('llamás', 'llamas')",1a1b0b1406568ebc12576c647e03991e,f66835f6fa2e70819e2efebc728c517fb9de090bdf39341f6341b9e1569f9be7,Spain,-7.9296875,-8.0859375,0.15625,"(-9.5, -1.5703125)","(-9.75, -1.6640625)",2,2,"('User location: Argentina\nUser language: es-AR', 'User location: Spain\nUser language: es-ES')",<|im_start|>system\nUser location: Spain\nUser language: es-ES<|im_end|>\n<|im_start|>user\ncomo te llamas,Qwen/Qwen2-0.5B-Instruct,2026-06-01T01:26:40.802508,True,0,0,20,20,Qwen/Qwen2-0.5B-Instruct,0.49,202408,True
1049,,"('Sabés', 'Sabes')",8f36ee0fd129c7a48b63ee1dc9928322,1481c28c05c211fa06c23575b6588097e9a7da62be9eca04ae350e90d834c8d5,Spain,-6.875,-6.625,-0.25,"(-24.0, -17.125)","(-24.375, -17.75)",2,2,"('User location: Argentina\nUser language: es-AR', 'User location: Spain\nUser language: es-ES')",<|im_start|>system\nUser location: Spain\nUser language: es-ES<|im_end|>\n<|im_start|>user\n Sabes,Qwen/Qwen2-0.5B-Instruct,2026-06-01T01:26:41.347380,False,0,1,42,43,Qwen/Qwen2-0.5B-Instruct,0.49,202408,True
1050,,"('tenes', 'tienes')",8f0f0a9110d2ad769bfd66887d3025b7,bd9d9dce7ff807931c01a025953777f0319c473c4c04674830fe9828572ba9fd,Spain,-5.3125,-5.25,-0.0625,"(-19.875, -14.5625)","(-20.0, -14.75)",2,1,"('User location: Argentina\nUser language: es-AR', 'User location: Spain\nUser language: es-ES')",<|im_start|>system\nUser location: Spain\nUser language: es-ES<|im_end|>\n<|im_start|>user\n tienes,Qwen/Qwen2-0.5B-Instruct,2026-06-01T01:26:41.745225,False,1,1,115,116,Qwen/Qwen2-0.5B-Instruct,0.49,202408,True
1051,Me,"('podes', 'puedes')",741b5300f7b403d2c63c7b33525114b7,435abe0dc9f1be6ebdfc57747d1da77903b6ffb537cc3f352e20a8e6cb6361cd,Spain,-8.5625,-8.71875,0.15625,"(-13.0, -4.4375)","(-13.0, -4.28125)",2,1,"('User location: Argentina\nUser language: es-AR', 'User location: Spain\nUser language: es-ES')",<|im_start|>system\nUser location: Spain\nUser language: es-ES<|im_end|>\n<|im_start|>user\nMe puedes,Qwen/Qwen2-0.5B-Instruct,2026-06-01T01:26:42.162953,True,1,5,281,286,Qwen/Qwen2-0.5B-Instruct,0.49,202408,True
1052,,"('Creame', 'Créame')",3fcd3a1b9a1b9d8f7cf570cd255c0c34,ffb9c2d012363044c728539e617262f7868207355862b48318f9ece4e6bd1e36,Spain,-2.375,-3.375,1.0,"(-25.625, -23.25)","(-26.5, -23.125)",2,2,"('User location: Argentina\nUser language: es-AR', 'User location: Spain\nUser language: es-ES')",<|im_start|>system\nUser location: Spain\nUser language: es-ES<|im_end|>\n<|im_start|>user\n Créame,Qwen/Qwen2-0.5B-Instruct,2026-06-01T01:26:42.708767,True,0,17,7,24,Qwen/Qwen2-0.5B-Instruct,0.49,202408,True
1053,,"('Podes', 'Puedes')",f831e6f0f7a40d28d8efa53199f66d8b,71cce809e77d47c2efbac91d79969cb9f26d0622f6be8a164c2a2e5590f6fb7f,Spain,-8.375,-8.25,-0.125,"(-24.75, -16.375)","(-24.5, -16.25)",2,3,"('User location: Argentina\nUser language: es-AR', 'User location: Spain\nUser language: es-ES')",<|im_start|>system\nUser location: Spain\nUser language: es-ES<|im_end|>\n<|im_start|>user\n Puedes,Qwen/Qwen2-0.5B-Instruct,2026-06-01T01:26:43.469674,False,-1,5,281,286,Qwen/Qwen2-0.5B-Instruct,0.49,202408,True
1054,,"('Escribime', 'Escríbeme')",a81cfc2d1d936c2207cd6c3f5ec02bea,333416d7a75d3018fb22806518ace7ce1de470a842fd7ced3f87c5b62b8e5466,Spain,-3.625,-3.5,-0.125,"(-24.0, -20.375)","(-24.25, -20.75)",4,4,"('User location: Argentina\nUser language: es-AR', 'User location: Spain\nUser language: es-ES')",<|im_start|>system\nUser location: Spain\nUser language: es-ES<|im_end|>\n<|im_start|>user\n Escríbeme,Qwen/Qwen2-0.5B-Instruct,2026-06-01T01:26:44.521492,False,0,0,41,41,Qwen/Qwen2-0.5B-Instruct,0.49,202408,True
1055,"hola chat,","('podes', 'puedes')",294f4cbd594d0f4d79bef1c9efd08eda,0189776ff0afcb42069517f2d8a87a6e8f340c7b9454374c50140dafc4fcf1c4,Spain,-7.1875,-6.90625,-0.28125,"(-14.25, -7.0625)","(-13.8125, -6.90625)",2,1,"('User location: Argentina\nUser language: es-AR', 'User location: Spain\nUser language: es-ES')","<|im_start|>system\nUser location: Spain\nUser language: es-ES<|im_end|>\n<|im_start|>user\nhola chat, puedes",Qwen/Qwen2-0.5B-Instruct,2026-06-01T01:26:44.918765,False,1,5,281,286,Qwen/Qwen2-0.5B-Instruct,0.49,202408,True
1056,,"('hace', 'haz')",8426447d7b7eb68c95784fbda9307f74,4b40090446738e2f78a2270022e504d2c707cdb770833dbfc448b9f51c9a4a21,Spain,5.5,5.625,-0.125,"(-12.75, -18.25)","(-12.75, -18.375)",1,1,"('User location: Argentina\nUser language: es-AR', 'User location: Spain\nUser language: es-ES')",<|im_start|>system\nUser location: Spain\nUser language: es-ES<|im_end|>\n<|im_start|>user\n haz,Qwen/Qwen2-0.5B-Instruct,2026-06-01T01:26:45.213894,False,0,241,101,342,Qwen/Qwen2-0.5B-Instruct,0.49,202408,True
